# seed=1337 config_hash=5fa4d5543ecd68be54445db2d80192b6b9de48a99484383e55fdfe1bbe91521a
episode,epsilon,alpha,mean_reward,winrate_vs_baseline,fallback_rate,role
50000,0.841673,0.1283342,0.035960000000000006,0.07960199004975124,0.23281980266574345,thief
50999,0.8385063333333334,0.12790086666666667,0.14989999999999995,0.0335195530726257,0.16898261294602332,cop
51000,0.8385063333333334,0.12790086666666667,0.04356,0.07734806629834254,0.2971847409628519,thief
51999,0.8353396666666667,0.12746753333333333,0.1285,0.053763440860215055,0.16899308849437594,cop
52000,0.8353396666666667,0.12746753333333333,0.030720000000000025,0.06806282722513089,0.30392324824396094,thief
52999,0.832173,0.12703419999999999,0.11907999999999987,0.0053475935828877,0.13996581196581195,cop
53000,0.832173,0.12703419999999999,0.02146000000000002,0.0845771144278607,0.25406758448060074,thief
53999,0.8290063333333333,0.12660086666666664,0.20145999999999986,0.02976190476190476,0.1724163241338814,cop
54000,0.8290063333333333,0.12660086666666664,0.03896000000000007,0.0875,0.2821247892074199,thief
54999,0.8258396666666666,0.12616753333333333,0.16004,0.04,0.13805064169268125,cop
55000,0.8258396666666666,0.12616753333333333,0.041380000000000076,0.052083333333333336,0.25893482831114223,thief
55999,0.822673,0.1257342,0.11127999999999995,0.04945054945054945,0.15422177009155646,cop
56000,0.822673,0.1257342,0.03544000000000002,0.09142857142857143,0.20020325203252032,thief
56999,0.8195063333333333,0.12530086666666665,0.14871999999999994,0.01744186046511628,0.14482029598308668,cop
57000,0.8195063333333333,0.12530086666666665,0.042920000000000014,0.11891891891891893,0.24635693468198183,thief
57999,0.8163396666666667,0.12486753333333332,0.16440000000000002,0.016853932584269662,0.12845010615711253,cop
58000,0.8163396666666667,0.12486753333333332,0.056360000000000125,0.1099476439790576,0.24979058468755236,thief
58999,0.813173,0.1244342,0.13926000000000002,0.020100502512562814,0.13814886020324088,cop
59000,0.813173,0.1244342,0.035700000000000016,0.09895833333333333,0.20466321243523317,thief
59999,0.8100063333333334,0.12400086666666665,0.15421999999999994,0.023668639053254437,0.151000351000351,cop
60000,0.8100063333333334,0.12400086666666665,0.04584000000000003,0.07608695652173914,0.23082239115411196,thief
60999,0.8068396666666666,0.12356753333333333,0.15610000000000004,0.042328042328042326,0.17129915585752523,cop
61000,0.8068396666666666,0.12356753333333333,0.04716000000000009,0.09444444444444444,0.24609307916881332,thief
61999,0.803673,0.1231342,0.18630000000000022,0.047337278106508875,0.15732956552454963,cop
62000,0.803673,0.1231342,0.035320000000000046,0.09216589861751152,0.2432932469935245,thief
62999,0.8005063333333333,0.12270086666666666,0.17617999999999973,0.046242774566473986,0.16158365976496922,cop
63000,0.8005063333333333,0.12270086666666666,0.03074000000000002,0.05434782608695652,0.27282768777614136,thief
63999,0.7973396666666667,0.12226753333333333,0.1578999999999999,0.03571428571428571,0.13337998600419873,cop
64000,0.7973396666666667,0.12226753333333333,0.04642000000000008,0.0718232044198895,0.27144428152492667,thief
64999,0.794173,0.1218342,0.17127999999999985,0.03783783783783784,0.14600685938265556,cop
65000,0.794173,0.1218342,0.047140000000000036,0.12021857923497267,0.26270604395604397,thief
65999,0.7910063333333334,0.12140086666666666,0.1540199999999998,0.03314917127071823,0.14815840487399612,cop
66000,0.7910063333333334,0.12140086666666666,0.03682000000000009,0.12380952380952381,0.23181734487203093,thief
66999,0.7878396666666667,0.12096753333333332,0.1999599999999999,0.03428571428571429,0.1444508009153318,cop
67000,0.7878396666666667,0.12096753333333332,0.03494000000000007,0.04145077720207254,0.25192560586135637,thief
67999,0.784673,0.1205342,0.17232,0.016304347826086956,0.14571226080793764,cop
68000,0.784673,0.1205342,0.03216000000000002,0.0872093023255814,0.20267301354815087,thief
68999,0.7815063333333334,0.12010086666666667,0.17797999999999986,0.049723756906077346,0.15535339398180545,cop
69000,0.7815063333333334,0.12010086666666667,0.036540000000000065,0.08888888888888889,0.24022038567493112,thief
69999,0.7783396666666667,0.11966753333333333,0.16867999999999983,0.06153846153846154,0.1416150796410934,cop
70000,0.7783396666666667,0.11966753333333333,0.042640000000000074,0.08695652173913043,0.22285504317471982,thief
70999,0.775173,0.1192342,0.2195399999999998,0.053763440860215055,0.15581549326859412,cop
71000,0.775173,0.1192342,0.05548000000000002,0.0847457627118644,0.23220769789397241,thief
71999,0.7720063333333333,0.11880086666666666,0.25851999999999986,0.06285714285714286,0.16216626213592233,cop
72000,0.7720063333333333,0.11880086666666666,0.04954000000000005,0.06532663316582915,0.25264150943396224,thief
72999,0.7688396666666667,0.11836753333333333,0.1771399999999999,0.05027932960893855,0.1617594891805605,cop
73000,0.7688396666666667,0.11836753333333333,0.04816000000000007,0.08290155440414508,0.28437940761636105,thief
73999,0.765673,0.11793419999999999,0.17426000000000003,0.0673076923076923,0.1305197070108127,cop
74000,0.765673,0.11793419999999999,0.019520000000000017,0.07777777777777778,0.2428158148505304,thief
74999,0.7625063333333334,0.11750086666666666,0.24363999999999997,0.041666666666666664,0.15787934186471664,cop
75000,0.7625063333333334,0.11750086666666666,0.026760000000000023,0.09473684210526316,0.20269215762777995,thief
75999,0.7593396666666667,0.11706753333333333,0.17432000000000009,0.055,0.13748860688494707,cop
76000,0.7593396666666667,0.11706753333333333,0.046740000000000066,0.10614525139664804,0.21258662670912157,thief
76999,0.756173,0.1166342,0.2080599999999998,0.05154639175257732,0.14710496292070735,cop
77000,0.756173,0.1166342,0.03840000000000005,0.1073170731707317,0.19677241885200808,thief
77999,0.7530063333333333,0.11620086666666665,0.22303999999999977,0.060109289617486336,0.13451739700101908,cop
78000,0.7530063333333333,0.11620086666666665,0.06482000000000006,0.13020833333333334,0.2188235294117647,thief
78999,0.7498396666666667,0.11576753333333333,0.22187999999999977,0.058823529411764705,0.14551105970796588,cop
79000,0.7498396666666667,0.11576753333333333,0.034180000000000016,0.10106382978723404,0.19236852510873864,thief
79999,0.746673,0.1153342,0.2677400000000001,0.04712041884816754,0.13881320012110202,cop
80000,0.746673,0.1153342,0.04548000000000012,0.10695187165775401,0.2041124316166761,thief
80999,0.7435063333333334,0.11490086666666666,0.2903199999999999,0.0546448087431694,0.1386092612668422,cop
81000,0.7435063333333334,0.11490086666666666,0.029100000000000046,0.05789473684210526,0.2158894645941278,thief
81999,0.7403396666666666,0.11446753333333333,0.2484000000000001,0.05813953488372093,0.1575839126859535,cop
82000,0.7403396666666666,0.11446753333333333,0.023660000000000035,0.11290322580645161,0.2087025004922229,thief
82999,0.7371730000000001,0.1140342,0.2275999999999999,0.05025125628140704,0.1537043862882418,cop
83000,0.7371730000000001,0.1140342,0.05210000000000009,0.06951871657754011,0.24643297516293816,thief
83999,0.7340063333333333,0.11360086666666666,0.27489999999999987,0.07655502392344497,0.12659380692167577,cop
84000,0.7340063333333333,0.11360086666666666,0.045460000000000056,0.09424083769633508,0.19415139737183046,thief
84999,0.7308396666666668,0.11316753333333332,0.27253999999999967,0.05555555555555555,0.13285767930904993,cop
85000,0.7308396666666668,0.11316753333333332,0.02210000000000004,0.12,0.17286392405063292,thief
85999,0.727673,0.11273419999999999,0.2900199999999999,0.06741573033707865,0.13998163171590386,cop
86000,0.727673,0.11273419999999999,0.04782000000000003,0.10880829015544041,0.19117915071988337,thief
86999,0.7245063333333334,0.11230086666666667,0.24529999999999996,0.0861244019138756,0.12265120375807399,cop
87000,0.7245063333333334,0.11230086666666667,0.056180000000000056,0.1411764705882353,0.20665083135391923,thief
87999,0.7213396666666667,0.11186753333333332,0.2989199999999998,0.08287292817679558,0.14259302056852322,cop
88000,0.7213396666666667,0.11186753333333332,0.038200000000000074,0.08808290155440414,0.18456567192548945,thief
88999,0.718173,0.1114342,0.3438200000000002,0.075,0.15700325732899023,cop
89000,0.718173,0.1114342,0.04484000000000009,0.0967741935483871,0.22688918057378585,thief
89999,0.7150063333333334,0.11100086666666667,0.2754199999999998,0.10204081632653061,0.12653831634579085,cop
90000,0.7150063333333334,0.11100086666666667,0.01934000000000002,0.07272727272727272,0.19391025641025642,thief
90999,0.7118396666666666,0.11056753333333333,0.2833199999999997,0.1099476439790576,0.11390121043530561,cop
91000,0.7118396666666666,0.11056753333333333,0.0245,0.09550561797752809,0.1940842787682334,thief
91999,0.7086730000000001,0.11013419999999999,0.28061999999999987,0.06382978723404255,0.11833861860932787,cop
92000,0.7086730000000001,0.11013419999999999,0.03948000000000003,0.10465116279069768,0.18897174254317112,thief
92999,0.7055063333333333,0.10970086666666666,0.3003200000000001,0.0989010989010989,0.13191128908054828,cop
93000,0.7055063333333333,0.10970086666666666,0.04434000000000007,0.10679611650485436,0.17272208483926194,thief
